ytid,start,end
-9ek6eO0RtI,260.000,270.000
-gStrDahsjU,20.000,30.000
02JEvDAcq7U,10.000,20.000
2aUWpuKZ-GQ,0.000,10.000
3vaGGiJrE2k,30.000,40.000
4_cwAbkJLeY,430.000,440.000
4c1omzV5pP8,90.000,100.000
6WJitOS-RHw,110.000,120.000
6iyinlZEgS4,40.000,50.000
6qlfodh49BA,0.000,3.000
7P-1BJ1A9ME,2.000,12.000
9Bln0rDEx_o,30.000,40.000
9VJL-ktypNw,0.000,6.000
Add11iatg0Y,50.000,60.000
BJ8up8BXMjg,570.000,580.000
BurGML_ZqSA,100.000,110.000
ByZD9ujkkB4,50.000,60.000
DOtBB70Jgu4,60.000,70.000
EGc41s7IIZ0,400.000,410.000
Es0DobdL8Kc,270.000,280.000
F7sg58qV70s,0.000,10.000
IqXmQwHAzt8,0.000,10.000
JL76D1HWv-U,550.000,560.000
JvgYGGBGZpM,30.000,40.000
LEwXpKnJMaQ,440.000,450.000
LUZvCwRDK38,550.000,560.000
M0HQ3VWaJpg,0.000,10.000
M47-JuWnx6U,0.000,6.000
O5_wAnnhRMk,460.000,470.000
OA24pdxG9R4,30.000,40.000
PvGpTY3C9bs,480.000,490.000
SrzabTzuLWg,20.000,30.000
U3kMEKCTwuE,40.000,50.000
VG7oB4EEUoY,10.000,20.000
VGpqLyx96Z8,20.000,30.000
Vbx6TFxSPYY,70.000,80.000
YZsH4WvIkxE,40.000,50.000
ZMiF2c7AMj4,30.000,40.000
_PoDrQC5qAo,50.000,60.000
aTu2S04Zizo,180.000,190.000
bk4X86Si6Zw,120.000,130.000
g6hqQz_iuDQ,20.000,30.000
gXBH4_kdnh0,320.000,330.000
h0A27Vd-NpU,30.000,40.000
im2DlcAOY1w,30.000,40.000
kNVmUxvzNi8,540.000,550.000
lcaRpShgGhY,10.000,20.000
nZIY8BKixjc,0.000,9.000
phaWZZdk8js,170.000,180.000
ptIHZv3KdJw,0.000,3.000
sorRkcFRl3w,150.000,160.000
tC2bf968d8M,440.000,450.000
tNEGx3WCwBA,0.000,4.000
uYY7cJzqyMU,570.000,580.000
v9DRBuLXpKQ,400.000,410.000
vmeWtjzGZPs,0.000,10.000
xjDFL8puUjM,50.000,60.000
y9na4SXQfFE,10.000,20.000
yNqiSfX8e3Y,12.000,22.000
zuW75_LUwCE,400.000,410.000
