ytid,start,end
0amHVSbkaX8,60.000,70.000
0cwIKnoMEBE,40.000,50.000
0ng703aLhXs,17.000,27.000
5_PvtlfQLOE,40.000,50.000
63bSko4WgwE,30.000,40.000
7_PrlSyBjfw,13.000,23.000
8StkM09rkCw,30.000,40.000
9ZUzftiN2uw,10.000,20.000
AyFk10RjRS4,30.000,40.000
Bbm-b0z_XpE,30.000,40.000
Bvxvfq5GUI4,80.000,90.000
C9K93AUFuvk,0.000,10.000
CSfbHfwsIVE,20.000,30.000
DITadeFq088,0.000,7.000
DMMCiQB7-E4,30.000,40.000
EHgzJwWi5vg,24.000,34.000
EX-5P7YdWsc,10.000,20.000
FmK8BBMXgcM,0.000,10.000
Gpk-aZXZN10,60.000,70.000
HxO2GRMD_fw,90.000,100.000
I3etAR5FQjo,60.000,70.000
IYrVF4tHN08,20.000,30.000
Kd7gcjrHawU,30.000,40.000
LPvP5Cu4FwY,20.000,30.000
Mls0tzvQpzQ,340.000,350.000
N3pxp1FCJRQ,110.000,120.000
NUHlTnLitqk,0.000,10.000
OiJIg2YXfRU,230.000,240.000
PCsQ3zgL3CU,230.000,240.000
QoZynUVXz08,0.000,10.000
R2MSnjisxw4,15.000,25.000
RAYmbd9bLoE,110.000,120.000
SXFMAPPaAbA,30.000,40.000
TO8KNt8rckw,50.000,60.000
VJTYKB1d_Uw,80.000,90.000
X57kxGGTXdo,100.000,110.000
YGNBzNCHsd0,10.000,20.000
ZaofVJP8QYI,40.000,50.000
bLtfHk5VSHQ,110.000,120.000
d-zH-RFj1EU,0.000,10.000
dgDNEEzUlq4,0.000,10.000
e_HhPw57sfA,110.000,120.000
fwLc41q5Sow,100.000,110.000
g8wdhSb01RY,0.000,10.000
gfgUPBApY7s,170.000,180.000
k9YfSvMiUX0,30.000,40.000
kXApHFgX2HQ,80.000,90.000
krCoBVQZLiQ,30.000,40.000
me_X5bkJBiA,240.000,250.000
pMdGwLkqk58,30.000,40.000
pgLfSVznfm4,30.000,40.000
qb8dYOgk2Mc,40.000,50.000
t3zeNkXa0CM,290.000,300.000
tR2SF1LdMuk,30.000,40.000
tTfIrUNNoic,9.000,19.000
u4VxZR2PSKs,12.000,22.000
uBCBppnw7OU,30.000,40.000
vDqjk41i1Qs,30.000,40.000
wax6gWNp5jM,40.000,50.000
zNYHzcIRMFY,30.000,40.000
