ytid,start,end
-xYBYEJ_O6w,10.000,20.000
0SkccP8H-fQ,390.000,400.000
0omVgdC33FQ,10.000,20.000
1kplUdxiw3s,240.000,250.000
2RpOd9MJjyQ,10.000,20.000
2pfjZSno0Bg,260.000,270.000
3h4DzWiMLoY,30.000,40.000
3qBG14yCkg0,100.000,110.000
50LDT3ezG_0,60.000,70.000
5LFJoFQNX1o,170.000,180.000
5aFQSHQ3Gnw,340.000,350.000
6QCcY4zycIg,40.000,50.000
71nimOIhEFU,470.000,480.000
7Yr4Y6V8hck,30.000,40.000
7pnH_TUtXeQ,70.000,80.000
7s2u7ByFlBw,40.000,50.000
8LUnkJPz_V8,340.000,350.000
8aaG9UHDKbw,0.000,10.000
8pAigLVDuns,20.000,30.000
96vB5wR_J4w,290.000,300.000
9NT6gEiqpWA,30.000,40.000
9Nrh9Fmkhbk,80.000,90.000
9kLbnqoMy3s,480.000,490.000
9rUsEMsdGnU,270.000,280.000
ABkrpc2QV7Y,20.000,30.000
AEGHk8z6Sbc,230.000,240.000
ArtL_qXq5Rk,440.000,450.000
C1b8yTNmMbI,200.000,210.000
CCcpSFCqtiw,520.000,530.000
DDiPb9JNITM,30.000,40.000
DP0ZCe7cIa0,40.000,50.000
DegfC2mWReU,460.000,470.000
DraWmty4nzI,160.000,170.000
DtdUYobU_EI,140.000,150.000
E33luTTDMPg,140.000,150.000
EZ5Kgpr9fhA,470.000,480.000
EtWlRyFehqY,480.000,490.000
EthWDtWBo00,10.000,20.000
F8lBDnu-afQ,120.000,130.000
FAPOw5Hptz0,400.000,410.000
FOttjI3p1mM,230.000,240.000
FyeoeFKbwNc,120.000,130.000
G958vjLYBcI,0.000,10.000
GKc8PCTen8Q,350.000,360.000
GOzZEVXZrDg,580.000,590.000
GiADSSogi10,20.000,30.000
Hmm0pfyVvvY,0.000,10.000
HotmT3r9_vc,420.000,430.000
I3Es6VcWAEY,70.000,80.000
IFlHy-i4_U0,210.000,220.000
IyspmEUfytc,120.000,130.000
J8oYvYUA1dA,100.000,110.000
JAfyOaRkAbM,190.000,200.000
JBOMYsE8s3k,50.000,60.000
JNAnQklId4c,100.000,110.000
Jd6QyMP6Mtk,20.000,30.000
K_GO-RNcpI8,30.000,40.000
KrgePHFM0KE,360.000,370.000
LK4b2eJpy24,30.000,40.000
LZV0197eAv8,20.000,30.000
LiaDV0Cp0lo,70.000,80.000
MIsdyuOA8uc,50.000,60.000
MNkQGlmeyK0,90.000,100.000
MwSbYICrYj8,390.000,400.000
N20w9BT1yxA,30.000,40.000
Nc-YPmCv1Gg,110.000,120.000
NdCr5IDnkxc,30.000,40.000
NfuT-XaUde4,70.000,80.000
NsgzZ193gyo,0.000,10.000
O6u7hO29T-Y,110.000,120.000
OOdjlfDHpMU,30.000,40.000
OTMAZ1M2CC0,30.000,40.000
OTWtKVR2NFQ,280.000,290.000
Oc9o_IKJqRw,90.000,100.000
P_e6PlHlXgo,40.000,50.000
Phk4p5sm6xQ,0.000,10.000
QDS6DNtVWSk,50.000,60.000
QJbtYvBLuzo,370.000,380.000
RS5xIIXG4r0,140.000,150.000
RT8YPhMpN9k,0.000,10.000
TLWULkJAdpw,180.000,190.000
TyRZDt8ErFI,30.000,40.000
UW84Is6AD-Q,270.000,280.000
UZx7OAgRMRY,380.000,390.000
UjlMSYSx49k,50.000,60.000
VNA90QHJfY8,310.000,320.000
Va1z0FaJZ9g,310.000,320.000
WMQa5nW7jAM,120.000,130.000
Wi4k0FCmBEw,280.000,290.000
XKvLkIM8dck,40.000,50.000
Y_jwEflLthg,330.000,340.000
Yjk7Fk8Mrv8,340.000,350.000
Yp7Wb-z9uiE,200.000,210.000
ZNRfTzRWsMg,120.000,130.000
ZOlOsfIK2Rk,270.000,280.000
ZbfEpDs45Ek,20.000,30.000
_59IGkU0rOw,240.000,250.000
_mM3RrrgNgA,50.000,60.000
_pUzVuWeLjM,40.000,50.000
_vUBlawb86M,380.000,390.000
_wzw_ySFHts,110.000,120.000
a5JsW77JhJU,510.000,520.000
aBya230hlcs,180.000,190.000
aL6ij87TUA8,380.000,390.000
aXsUHAKbyLs,30.000,40.000
ahct5yzUtdE,0.000,10.000
cNDibDeWQsg,150.000,160.000
cglysWXBmbI,0.000,10.000
d-zXmU_kY58,90.000,100.000
d1o334I5X_k,30.000,40.000
d5sA37UOGgw,130.000,140.000
dmrDDmRNrUs,110.000,120.000
e9jaB4VVfxQ,90.000,100.000
fXyyl59aY1I,40.000,50.000
fsuAC7yVCX8,260.000,270.000
fvXl_s2jCJ4,30.000,40.000
fwh5e8_zaNY,60.000,70.000
fz6-6rotQWE,350.000,360.000
g9JVq7wfDIo,30.000,40.000
gTFCK9TuLOQ,30.000,40.000
gU1PDdat7Nw,170.000,180.000
gj4ShUurFvQ,130.000,140.000
hYjS8SJ-eA4,20.000,30.000
hlwuLJ3JfHc,0.000,10.000
if5kBcYKZ_I,0.000,10.000
ifhtmQJxXTE,60.000,70.000
ikK57HnYyVA,380.000,390.000
imG4xZBppCc,30.000,40.000
j2Kb0mdm7nE,150.000,160.000
j8gus9IZxWo,30.000,40.000
jGo9_MtgWeQ,20.000,30.000
jK4Vbsd4s9w,130.000,140.000
kJCXjkQJ23A,50.000,60.000
kWjt5M1_xbY,380.000,390.000
kylGSfigW9E,210.000,220.000
l5IEFoQ_BTQ,340.000,350.000
l6-5TsLJ4HY,200.000,210.000
lQcjnPc2raA,30.000,40.000
lgbFrAr4jMI,460.000,470.000
mAF3DqBN-Z0,330.000,340.000
mLsXR-EqyVo,30.000,40.000
mTUgsPfWiwM,10.000,20.000
ml8Zqw8T154,40.000,50.000
ndayTknUH9o,380.000,390.000
nmpM3wpcHD4,120.000,130.000
ofhH8SvSQMI,120.000,130.000
ogc8SiYPYyU,160.000,170.000
onBc-szcv6g,0.000,10.000
pTRYm_peqGA,20.000,30.000
pv2auTAoOiE,20.000,30.000
q2zzPV25WW8,50.000,60.000
q7zzKHFWGkg,40.000,50.000
qQXDD_qpblY,240.000,250.000
qWzlkwoP-dY,40.000,50.000
qZva2pwH-FE,80.000,90.000
qbauxPBxcZc,30.000,40.000
qceCcKvtGrk,240.000,250.000
qhQE_wDz_Dc,40.000,50.000
rVQega7wLSk,200.000,210.000
ry7WSjD4nOM,340.000,350.000
s78Rk89lEAA,130.000,140.000
sVG3Cyi6vdo,330.000,340.000
sXX_OOK1Axw,90.000,100.000
smO6tid5Lsk,20.000,30.000
sn9nx5PKbmA,260.000,270.000
sohIj8cDtYo,130.000,140.000
trHbq9xGW0Q,140.000,150.000
ts0NiUqcZf0,390.000,400.000
uGc18qtbOAM,80.000,90.000
uKebpQMHWVI,30.000,40.000
uZ9YMoUempU,320.000,330.000
uZfsEDo3elY,30.000,40.000
ugrpXdK031U,30.000,40.000
umcnfA9veOw,250.000,260.000
uuvp0tkzPbs,0.000,10.000
vdJ2Gz_NYTU,110.000,120.000
voFGIdOfwew,530.000,540.000
wM9wNgY8d4g,150.000,160.000
x1LeLarmp3U,180.000,190.000
yBVxtq9k8Sg,0.000,10.000
yhQ3cDwM7BM,210.000,220.000
ysH1h7EdPuU,22.000,32.000
zKepRlneopY,27.000,37.000
